id,L_node_1,L_node_2,I_node_1,I_node_2,context_L_node,context_I_node,prop_rel
806471,A philosophy which sees Government money as the Government's,it's not it's yours,the Labor philosophy is a philosophy which sees Government money as the Government's,"the money is not the Goverment's, it's yours",the same new Labour philosophy at work,it's frustrating to have the same new Labour philosophy at work,conflict
806491,green levies are 12.5%,not 20%,green levies are 12.5%,green levies are not 20%,the Government shouldn't be lending it to you,the Government shouldn't be lending the money to you,conflict
806511,green levies are 12.5%,Not the calculation I have seen,green levies are 12.5%,it is not the calculation Tim Stanley has seen that green levies are 12.5%,the Government shouldn't be lending it to you,the Government shouldn't be lending the money to you,conflict
806588,to reduce the demand for gas,No insulating homes to reduce the demand for gas,retrofitting a lot of the homes in the UK would reduce the demand for gas,there should be no insulating homes to reduce the demand for gas,they would be using the gas crisis as an opportunity to retrofit a lot of the homes in the UK,they would be using the gas crisis as an opportunity to retrofit a lot of the homes in the UK,conflict
807211,the data I believe you are talking about is The Yellow Card reporting scheme,More than just The Yellow Card,the data Robin Shattock is talking about is The Yellow Card reporting scheme,Robin Shattock is talking about the data from more than just The Yellow Card,I have looked at the data myself,AudienceMember 20220210QT20 have looked at the data themselves,conflict
807286,The rarest events of any serious concern is inflammation of the heart,With the AstraZeneca vaccine it's not simply you know inflammation,one of the rarest events of any serious concern is inflammation of the heart,with the AstraZeneca vaccine serious adverse events are not simply inflammation,now the two main vaccines that are currently used in the UK are the two r NA vaccines Moderna and Pfizer,now the two main vaccines that are currently used in the UK are the two RNA vaccines Moderna and Pfizer,conflict
807519,he has given you the information,you are going through your notes finding all sorts of other things,Robin Shattock has given AudienceMember 20220210QT22 the information,AudienceMember 20220210QT22 is going through their notes finding all sorts of other things,"you have got Robin here a world-renowned expert, developing vaccines, researching vaccines for HIV and Ebola","AudienceMember 20220210QT22 has got Robin Shattock here a world-renowned expert, developing vaccines, researching vaccines for HIV and Ebola",conflict
807687,inventing mRNA vaccines,He didn't invent mRNA vaccines,Dr Robert invented mRNA vaccines,Dr Robert didn't invent mRNA vaccines,we can talk about say Dr Robert Malone who invented the vaccine,we can talk about say Dr Robert Malone who invented the vaccine,conflict
807718,No,I don't think he is the man who invented the vaccine,we can talk about say Dr Robert Malone who invented the vaccine,Dr Robert is not the man who invented the vaccine,we can talk about say Dr Robert Malone who invented the vaccine,we can talk about say Dr Robert Malone who invented the vaccine,conflict
807739,These are sound moral questions that imply that taking the vaccine is the altruistic thing to do,I have to consider the dignity of the individual. And their right to refuse something to be done to them,these are sound moral questions that imply that taking the vaccine is the altruistic thing to do,Tim Stanley has to consider the dignity of the individual and their right to refuse something to be done to them,I take the point about the risk of passing it on to someone else or taking up a hospital bed,Tim Stanley takes the point about the risk of passing COVID-19 on to someone else or taking up a hospital bed,conflict
807927,Never worried I would end up in hospital,worried I might be sicker than I have been,AudienceMember 20220210QT26 never worried they would end up in hospital,AudienceMember 20220210QT26 worried they might be sicker than they have been,Were you worried you might end up in hospital,AudienceMember 20220210QT25 was or was not worried AudienceMember 20220210QT25 might end up in hospital,conflict
808000,you do have the freedom to do a lot of things,you don't have the freedom to shout fire in a crowded restaurant,you do have the freedom to do a lot of things,you don't have the freedom to shout fire in a crowded restaurant,There are things that we should do,there are things that we should do,conflict
808008,you don't have the freedom to shout fire in a crowded restaurant,You do,you don't have the freedom to shout fire in a crowded restaurant,you do have the freedom to shout fire in a crowded restaurant,you do have the freedom to do a lot of things,you do have the freedom to do a lot of things,conflict
808606,"the levying of green and other social levies which are added on to your bills, something like 20% right now of your bill is those levies which have been applied by the Government",green levies are 12.5%,"the levying of green and other social levies which are added on to your bills, something like 20% right now of your bill is those levies which have been applied by the Government",green levies are 12.5%,It distorts things,the Conservative Government taking policies from Labour distorts things,conflict
808960,There are some people that think these questions shouldn't be aired,Not only does that treat people like children,there are some people that think these questions on people's decision to not get the vaccination shouldn't be aired,not wanting to air the questions on people's decision not to get the vaccination treats people like children,Congratulations to question time for even having this conversation,congratulations to question time for even having this conversation on people's decision not to get the vaccination,conflict
808962,Not only does that treat people like children,"it also means if you don't ask the questions, you won't necessarily get the answers",not wanting to air the questions on people's decision not to get the vaccination treats people like children,"not wanting to air the questions on people's decision to not get the vaccination also means if you don't ask the questions, you won't necessarily get the answers",There are some people that think these questions shouldn't be aired,there are some people that think these questions on people's decision to not get the vaccination shouldn't be aired,conflict
809331,partly because of the sort of error,it's not just an error,whoever replaces Boris Johnson has now got an opposition which people kind of know about partly because of the sort of errors that Boris Johnson does,Boris Johnson's errors are not just errors,whoever replaces him has now got to actually an opposition which people kind of know about,whoever replaces Boris Johnson has now got an opposition which people kind of know about,conflict
809441,"He may be drip, drip, dripping",it's all truth what he is telling us,"Boris Johnson may be drip, drip, dripping",it's all truth what Boris Johnson is telling us,it's about our Prime Minister,it's about Boris Johnson,conflict
809521,One shouldn't have to say integrity is important in public life,it plainly is,one shouldn't have to say integrity is important in public life,integrity in public life is plainly important,"the issue is for me, that integrity matters",the issue for Robin Shattock is that integrity matters,conflict
809542,We have had Prime Ministers who have been paragons of morality like Theresa May and she was rubbish at the job,Tony Blair who was directed by an inner morality and he took us to war,we have had Prime Ministers who have been paragons of morality like Theresa May and she was rubbish at the job,we have had Tony Blair who was directed by an inner morality and he took us to war,One shouldn't have to say integrity is important in public life,one shouldn't have to say integrity is important in public life,conflict
809587,the vaccine done,he made some decisions but the NHS got the vaccine done,Boris Johnson got the vaccine done,Boris Johnson made some decisions but the NHS got the vaccine done,they might not entirely trust Boris Johnson but he gets stuff done,people might not entirely trust Boris Johnson but he gets stuff done,conflict
809869,we should understand the circumstances,none of that means that we shouldn't be conscious about the affect it has on people who have very properly followed the rules very precisely,we should understand the circumstances,being played by Dominic Cummings doesn't mean we shouldn't be conscious about the effect it has on people who have very properly followed the rules very precisely,we are,we are being played here,conflict
810014,and we can talk about numbers,but behind each individual number there is a personal tragedy for both the individuals concerned but also their relatives and families,we can talk about numbers,behind each individual number there is a personal tragedy for both the individuals concerned but also their relatives and families,the death rate is clearly very concerning,the death rate is clearly very concerning,conflict
810175,by then other countries were already implementing lockdown measures,It was weeks before our government started to take this seriously,by February other countries were already implementing lockdown measures,it was weeks before our government started to take the infection of the Coronavirus spreading seriously,the Coronavirus,the Coronavirus,conflict
810390,it is dangerous and that's certainly what our public health expert colleagues say to draw conclusions at this point,"clearly we are at 30,000 deaths",it is dangerous and that's certainly what our public health expert colleagues say to draw conclusions at this point,"clearly we are at 30,000 deaths",the reality is we are going to have to await to do the detailed analysis to find out what has happened here,the reality is we are going to have to await to do the detailed analysis to find out what has happened here,conflict
810593,That could have had an impact early on,here will be a time to reflect and learn lessons at the end of this,London having a big public transportation system could have had an impact early on in the pandemic,there will be a time to reflect and learn lessons at the end of the pandemic,It is a city with a big public transportation system,London is a city with a big public transportation system,conflict
810652,So lots and lots of planning and preparation went into responding to this,it was the case that the scientific advice was not that we should have locked down earlier than we did,lots and lots of planning and preparation went into responding to a lockdown,the scientific advice was not that we should have locked down earlier than we did,It was occupying all of Matt Hancock's time,lockdown preparation meetings were occupying all of Matt Hancock's time,conflict
811426,This is due to the hard effort of 1 million front line staff that we have managed to avoid an overwhelming situation,"it is difficult to talk about celebration when we are talking about it in the context of Margaret's questions of 30,000 deaths",this is due to the hard effort of 1 million front line staff that we have managed to avoid an overwhelming situation,"it is difficult to talk about celebration when we are talking about it in the context of Margaret's questions of 30,000 deaths","NHS was clearly told, you have to do everything to avoid that","NHS was clearly told, you have to do everything to avoid people not being able to be treated in care homes",conflict
811647,We have to answer that question as to why we have ended up with this tragic death toll as we have,at the same time we can't simply say this is something for the future,we have to answer that question as to why we have ended up with this tragic death toll as we have,at the same time we can't simply say this is something for the future,"The point I am making really is, of course, we will come to a point in the future when we must look very robustly with great scrutiny as to what the government is doing and what differently it could have done throughout this crisis",we will come to a point in the future when we must look very robustly with great scrutiny as to what the government is doing and what differently it could have done throughout this crisis,conflict
811874,I was talking to a Trust Chief Executive who two weeks ago could get tested in a day,now they are taking five days,Chris Hopson was talking to a National Health Service Trust Chief Executive who two weeks ago could get tested for Coronavirus in a day,now Coronavirus tests are taking five days,then wait for the test from 7 to 10 days,you then wait for the test from 7 to 10 days,conflict
812143,My understanding is once you sign up to the app there is not a lot of data,as soon as you develop symptoms of Coronavirus you have to have that data on a database,Afua Hirsch's understanding is once you sign up to the app there is not a lot of data,as soon as you develop symptoms of Coronavirus you have to have that data on a database,"George, you have seen there will not be masses of data on the data basis",George Eustice has seen there will not be masses of data on the data basis,conflict
812390,We suggest let's do our trials in the Isle of Wight,"there might be a good idea to back another horse, which is the app that's being developed in Korea",we suggest let's do our app trials in the Isle of Wight,"there might be a good idea to back another horse, which is the app that's being developed in Korea",it's not the only strategy here,it's not the only strategy here,conflict
812462,the app is very much part of that,"t is also true to say, though, it is going to require oversight",the app is very much part of the track and trace strategy,"it is also true to say, though, the app is going to require oversight",We have been arguing a strategy on this for some considerable time now,we have been arguing a strategy on track and trace for some considerable time now,conflict
812726,This is why we are piloting it in the Isle of Wight,This must have been worked out,the lack of clarity on procedure is why the Government are piloting it in the Isle of Wight,the procedures must have been worked out,We don't know,we don't know,conflict
812791,they should self-isolate as well,If they don't show symptoms it is a different matter,they should self-isolate as well,if family member's of those contacted by track and trace don't show symptoms it is a different matter,And members of their family,members of those trialists contacted by track and trace's family should do xxx,conflict
812709,We have created 7 Nightingale Hospitals literally within the space of a fortnight,It has not worked too well with the care homes,we have created 7 Nightingale hospitals literally within the space of a fortnight,it has not worked too well with the care homes,"the NHS has actually created 33,000 beds to cater to Coronavirus patients","the NHS has actually created 33,000 beds to cater to Coronavirus patients",conflict
812951,"If we would have done, we would have had the tests of the 100,000 in place by the beginning of April",not started building it at the beginning of April,"If we would have planned ahead well enough, we would have had the tests of the 100,000 in place by the beginning of April",if we would have planned ahead well enough we would not have started building tests at the beginning of April,we didn't plan ahead well enough,we didn't plan ahead well enough testing,conflict
813340,In February the UK was ranked second best to deal with the pandemic with the global pandemic security index,we have the highest death toll in Europe or the second or the third,in February the UK was ranked second best to deal with the pandemic with the global pandemic security index,we have the highest death toll in Europe or the second or the third,It is interesting,it is interesting,conflict
813152,It may be a price worth paying,we need to be assured a process has been undergone before we get to the stage of being able to have information about that,the lack of data protection may be a price worth paying,we need to be assured a process has been undergone before we get to the stage of being able to have information about that,I think we are right to be concerned,we are right to be concerned about data protection on an NHS track and trace app,conflict
813171,"I think we have to when we are giving away all of our liberties, including privacy, we have to be informed about what we are giving away and getting in return",I have not seen any conversation like that happen yet,"when we are giving away all of our liberties, including privacy, we have to be informed about what we are giving away and getting in return",Afua Hirsch has not seen any conversation about which liberties we are giving away happen yet,we need to be assured a process has been undergone before we get to the stage of being able to have information about that,we need to be assured a process has been undergone before we get to the stage of being able to have information about that,conflict
813521,this is a very strong argument to just be careful about splitting the country into different places that are trying to do different things at different points,"Scotland, Wales and Northern Ireland can do different things",this is a very strong argument to just be careful about splitting the country into different places that are trying to do different things at different points,"Scotland, Wales and Northern Ireland can do different things","We have needed to be really, really clear about what it is we are meant to be doing and what we are not meant to be doing","we have needed to be really, really clear about what it is we are meant to be doing and what we are not meant to be doing",conflict
813609,I know the prevalence can be quite different in different parts of the county,"the so-called R rate, the reproductive rate, is quite similar across the country",the prevalence can be quite different in different parts of the county,"the so-called R rate, the reproductive rate, is quite similar across the country",because otherwise it does get confusing concerning some of the advice from the chief medical officer,otherwise it does get confusing concerning some of the advice from the chief medical officer,conflict
813655,"there are circumstances in which you do use data, for example, fighting crime and preventing terrorism",there are some really strict Parliamentary oversight procedures to ensure that that data is being held properly,"there are circumstances in which you do use data, for example, fighting crime and preventing terrorism",there are some really strict Parliamentary oversight procedures to ensure that that data is being held properly,He pointed to exactly the same thing Nick was talking about,the former director general of the MI 1 pointed to exactly the same thing Nick Thomas-Symonds was talking about,conflict
813870,There have been moments in the crisis where Wales have taken slightly different decisions,on the whole the Welsh government has tried to take a four nations approach,there have been moments in the crisis where Wales have taken slightly different decisions,on the whole the Welsh government has tried to take a four nations approach,I sit here in Wales,Nick Thomas-Symonds is in Wales,conflict
814583,the Prime Minister has already an idea of what he is likely to outline on Sunday is a route map about how we can revolve this policy,we are expecting a bit more than a route map,the Prime Minister has already an idea of what he is likely to outline on Sunday is a route map about how we can revolve this policy,we are expecting a bit more than a route map,Is that what you are expecting,lockdown easing in some places is or is not what Goerge Eustice was expecting,conflict
814830,lives could be saved if this was taken seriously at an early stage,That's not true,lives could have been saved if this was taken seriously at an early stage,That's not true,It was weeks before we had any interest let alone the announcement of an inquiry,it was weeks before we had any interest let alone the announcement of an inquiry,conflict
815587,"I am as keen as everyone else to be able to get back to some semblance of normality, for my daughter to return to school",we need those assurances that we will be kept safe,"Afua Hirsch is as keen as everyone else to be able to get back to some semblance of normality, for her daughter to return to school",we need those assurances that we will be kept safe,There is a real sense people's lives are being put unnecessarily at risk,there is a real sense people's lives are being put unnecessarily at risk,conflict
815797,You need to have flexibility for employers to do what works in their environment,we need a bit of reality,You need to have flexibility for employers to do what works in their environment,we need a bit of reality,The difficulty being too prescriptive is that different companies will have different approaches,the difficulty of being too prescriptive is that different companies will have different approaches,conflict
815807,taking the right steps and investing and caring about protecting their workforce,there will always be employers who are not responsible and willing to put their workers at risk,there will be employers taking the right steps and investing and caring about protecting their workforce,there will always be employers who are not responsible and willing to put their workers at risk,There will be lots of responsible employers who are doing the kinds of things you are doing,there will be lots of responsible employers who are doing the kinds of things George Eustice is doing,conflict
815830,You have to do that any time,not just in this COVID time,you have to do keep your employees safe at any time,not just in this COVID time,It is crystal clear,it is crystal clear,conflict
815949,There is no way we are going to be able to observe social distancing,have a one way system,there is no way we are going to be able to observe social distancing,Chris Hopson's office could have a one way system,we have a very narrow corridor which effectively enables people to get to and from their desk,we have a very narrow corridor which effectively enables people to get to and from their desk,conflict
816071,you are talking about the people in your office,"when this comes to ambulance workers, community trust workers, hospital workers you are obviously here as the face of that",Chris Hopson is talking about the people in his office,"when this comes to ambulance workers, community trust workers, hospital workers Chris Hopson is obviously here as the face of that",you need the ingenuity of staff to help you do things like work out how you would create a system if you have a narrow corridor,businesses need the ingenuity of staff to help them do things like work out how they would create a system if they have a narrow corridor,conflict
816295,people are desperate to start earning again,they are anxious,people are desperate to start earning again,people are anxious,do you think it is going to be difficult to get people back to work,George Eustice does or does not think that it is going to be difficult to get people back to work,conflict
816487,as we come out we have to be together to help simplify the messaging,we can't then have different interventions in different parts of the country,as we come out we have to be together to help simplify the messaging,we can also then have different interventions in different parts of the country,The messaging wasn't quite clear enough,the messaging wasn't quite clear enough,conflict
820067,this is exactly why NATO are wading in now and saying we have to have a no-fly zone,You can't have a no-fly zone,nobody wanting a nuclear fall-out is exactly why NATO are wading in now and saying we have to have a no-fly zone,you can't have a no-fly zone,the problem is that nobody obviously wants the nuclear fall-out that comes with it,the problem is that nobody obviously wants the nuclear fall-out that comes with it,conflict
820102,I'm also proud to be Russian,I feel nothing but shame for my country and what it is doing,Konstantin Kisin is proud to be Russian,Konstantin Kisin feels nothing but shame for Russia and what it is doing,I'm proud to be British,Konstantin Kisin is proud to be British,conflict
820415,"When this whole invasion was announced by Mr Putin, he called in his top echelon",even people who are supposed to be really called,"when this whole invasion was announced by Mr Putin, he called in his top echelon",even people who are supposed to be really called,There is a sense that there is dismay beneath the surface in Russia,there is a sense that there is dismay beneath the surface in Russia,conflict
820494,they're lining up behind the Russian president,"Inside Russia, and inside Moscow, people close to him, not everyone may think it is a good idea",they're lining up behind the Russian president,"inside Russia, and inside Moscow, people close to him, not everyone may think invading Ukraine is a good idea",they've got their message in a row,they've got their message in a row,conflict
820549,"He has had many opportunities to negotiate, bilaterally, multi-laterally",He chose to build up his arms and he chose to invade,"Putin has had many opportunities to negotiate, bilaterally, multi-laterally",Putin chose to build up his arms and he chose to invade,that is Putin,the person who does want war is Putin,conflict
821003,"there are talks still going on, of course, between Ukraine and Russia",It has to be on his terms,the talks between Ukraine and Russia are still ongoing,the talks between Ukraine and Russia have to be on Putin's terms,Are we saying that the diplomatic route is closed to Putin,the British Government is or is not saying that the diplomatic route is closed to Putin,conflict
821291,the Russians may say this is too risky and they'll bring arms in and it may fall away,"that would be, I think, in his interests and clearly, it would be in the Ukrainian president's interest to try and get all those vulnerable people out who would like to leave, who are desperate to leave",the Russians may say this is too risky and they'll bring arms in and a humanitarian corridor may fall away,"a humanitarian corridor would be in Mr Putin's interests and clearly, it would be in the Ukrainian president's interest to try and get all those vulnerable people out who would like to leave, who are desperate to leave",It may fall away because Ukraine maybe asked to do things it is not prepared to do,a humanitarian corridor may fall away because Ukraine maybe asked to do things it is not prepared to do,conflict
822045,Some are on the sanctions list,there will be more people who might decide to come out and say how dismayed they are and outraged at what their government is doing as you just did,some of those who sat on the fence are on the sanctions list,there will be more people who might decide to come out and say how dismayed they are and outraged at what their government is doing just as Konstantin just did,They're going to have to make a choice,those who sat on the fence are going to have to make a choice,conflict
822082,there will be more people who might decide to come out and say how dismayed they are and outraged at what their government is doing as you just did,There are others for whom it will be a bigger deal,there will be more people who might decide to come out and say how dismayed they are and outraged at what their government is doing just as Konstantin just did,there are others for whom coming out will be a bigger deal,Some are on the sanctions list,some of those who sat on the fence are on the sanctions list,conflict
822473,"whatever else we do, we should not be giving them and him an easy ride",it is not all the people in Russia,"whatever else we do, we should not be giving people who are propping Putin up and Putin himself an easy ride",people who are propping Putin up is not all the people in Russia,"We need to make it as uncomfortable as possible for the people who are at the top, the people who are propping Putin up","we need to make it as uncomfortable as possible for the people who are at the top, the people who are propping Vladimir Putin up",conflict
822475,I know there has been significant movement there,there needs to be significantly more movement there,Kirsten Oswald knows there has been significant movement in terms of sanctions,there needs to be significantly more movement in terms of sanctions,Why aren't more people of concern,there aren't more people of concern because of xxx,conflict
822649,There are people in Russia who would love to play party politics,they can't do so,there are people in Russia who would love to play party politics,people in Russia can't play party politics,how many soldiers we would have had under a Jeremy Corbyn Prime Minister,we would have had fewer soldiers under a Jeremy Corbyn Prime Minister,conflict
824389,"For those people who have a connection to this country or want to come to Britain, there needs to be no impediment to it",Is a visa not an impediment,"for those people who have a connection to this country or want to come to Britain, there needs to be no impediment to it",a visa is an impediment,they can stay in touch with people and they can return as swiftly as they possibly can to be reunited,Ukrainian women and children can stay in touch with people and they can return as swiftly as they possibly can to be reunited,conflict
824403,Is a visa not an impediment,"The thing about having no visas, you don't know who is coming and going",a visa is an impediment,the thing about having no visas is that you don't know who is coming and going,"For those people who have a connection to this country or want to come to Britain, there needs to be no impediment to it","for those people who have a connection to this country or want to come to Britain, there needs to be no impediment to it",conflict
824456,Is there anyone on the panel who thinks that's legitimate and we might not be in the situation we're in now had that not taken place,I might stay with the issue of visas for a moment,there is or is not anyone on the panel who thinks that Russia's concerns are legitimate and we might not be in the situation we're in now had NATO expanding eastward not taken place,Fiona Bruce might stay with the issue of visas for a moment,Vladimir Putin explained this is one of the reasons he's invading Ukraine,Vladimir Putin explained this is one of the reasons he's invading Ukraine,conflict
824470,"isn't it ironic that we've got people in need, yeah, because of the war, who are having barriers put in front of them to come to this country","if they go to France, they can get in a dinghy and get free entry","isn't it ironic that we've got people in need, because of the war, who are having barriers put in front of them to come to this country","if people in need go to France, they can get in a dinghy and get free entry",I might stay with the issue of visas for a moment,Fiona Bruce might stay with the issue of visas for a moment,conflict
826226,other war-torn countries this happens repeatedly,we repeatedly debate this,"in other war-torn countries people being frightened, killed and losing their homes happens repeatedly",we repeatedly debate lifting visa requirements for refugees,This isn't just Ukraine,"refugees being frightened, killed and losing their homes isn't just Ukraine",conflict
826338,"During the middle of the pandemic, in a heartbeat, a VIP hot line was set up for their mates to get contracts out","in a crisis now, they can't find some way of getting a VIP hot line for the people who actually want to come to this country and get protection and during an emergency in their time of need","during the middle of the pandemic, in a heartbeat, a VIP hot line was set up for the Government's mates to get contracts out","in a crisis now, the Government can't find some way of getting a VIP hot line for the people who actually want to come to the UK and get protection and during an emergency in their time of need",It falls on the wrong side of that line,the Government falls on the wrong side of that line between tough and nasty,conflict
826902,One where there needs to be a family link and one where you need to be sponsored by a business or charity,You don't need to have a family member in the UK,one where there needs to be a family link and one where you need to be sponsored by a business or charity,you don't need to have a family member in the UK,I understand there is two schemes,there is two schemes,conflict
826905,"You need to be sponsored by a business, individual or charity","No, you can also be a refugee, forgive the term, but you can also do that","you need to be sponsored by a business, individual or charity","no, you can also be a refugee, forgive the term, but you can also do that",One where there needs to be a family link and one where you need to be sponsored by a business or charity,one where there needs to be a family link and one where you need to be sponsored by a business or charity,conflict
827318,Ukraine is one of the few countries who gave up their nuclear weapons,That's not guaranteed,Ukraine is one of the few countries who gave up their nuclear weapons,the fact that Ukraine gave up their nuclear weapons is not guaranteed,The only reason they're still in Ukraine and not in Poland is that we have nuclear weapons,the only reason why Russian troops are still in Ukraine and not in Poland is that we have nuclear weapons,conflict
827323,The only reason they're still in Ukraine and not in Poland is that we have nuclear weapons,Ukraine is one of the few countries who gave up their nuclear weapons,the only reason why Russian troops are still in Ukraine and not in Poland is that we have nuclear weapons,Ukraine is one of the few countries who gave up their nuclear weapons,"If we didn't have nuclear weapons, where would the troops be today","if we didn't have nuclear weapons, Russian troops would be in Poland today",conflict
827585,"Bridget, you have the advantage, having met the man","I'm not sure the man who I met in 2001 and 2006, well, you know, a while ago, is quite the man who is in charge now","Bridget Kendall has the advantage, having met Putin","Bridget Kendall's not sure Putin who she met in 2001 and 2006, well, you know, a while ago, is quite the man who is in charge now",NATO got involved,NATO got involved,conflict
827710,maybe he would press the button,there would be people around him who would think he's crazy,maybe Putin would press the button,there would be people around Putin who would think he's crazy,he's not very rational,Putin's not very rational,conflict
827820,Konstantin doesn't agree with me,"No, I do agree",Konstantin doesn't agree with Bridget Kendall,"no, Konstantin Kisin does agree with Bridget Kendall",there are a lot of people in Russia who are rational,there are a lot of people in Russia who are rational,conflict
828902,We're talking about places being shelled and you want them to go to an embassy and get paperwork,that's untrue,we're talking about places being shelled and you want them to go to an embassy and get paperwork,the Conservatives wanting Ukranians to go to an embassy and get paperwork is untrue,Are you saying on any grounds,Penny Mordaunt is or is not saying Ukranian people will be able to come to the UK on any grounds,conflict
828955,Conservatives are not uncompassionate people,The policy is uncompassionate,Conservatives are not uncompassionate people,the policy is uncompassionate,I've been an aid worker in the former Eastern Bloc,Penny Mordaunt has been an aid worker in the former Eastern Bloc,conflict
828849,there is a visa restriction and things like that,we need to be careful,there is a visa restriction and things like that,we need to be careful,We need to think about what we can do for them,we need to think about what we can do for them,conflict
829013,I come in here and I have no English,now I can fully speak English,AudienceMember 20220310QT29 came to Britain and had no English,now AudienceMember 20220310QT29 can fully speak English,We can support,we can support the dispossessed Ukrainians,conflict
829054,"You estimated 200,000 people coming to this country",they will prefer to stay in Poland,"you estimated 200,000 people coming to this country",the dispossessed Ukrainians would prefer to stay in Poland,what's the Government's plan once the Ukrainians do come,xxx is what the Government's plan is once the Ukrainians do come,conflict
829369,"that will clobber the average family by over an extra £1,000 a year",The only major economy incidentally in the world that is imposing taxes at a time like this,"the national insurance tax hike will clobber the average family by over an extra £1,000 a year",Britain is the only major economy incidentally in the world that is imposing taxes at a time like this,"But the week after that the Conservatives are imposing a national income, a national insurance tax hike","the week after that the Conservatives are imposing a national income, a national insurance tax hike",conflict
829496,That's going to be a crisis,"Long term though, after this immediate crisis we have got to stop living in this country on a day-to-day, week-by-week, coping with the latest crisis",that's going to be a crisis,"long term though, after this immediate crisis we have got to stop living in this country on a day-to-day, week-by-week, coping with the latest crisis",people are not going to make it through that,people are not going to make it through that,conflict
829565,We need as much as possible from the renewables,we are going to need gas for a while as that transition happens,we need as much as possible from the renewables,we are going to need gas for a while as that transition happens,we need a smooth transition,we need a smooth transition,conflict
829619,I've genuinely got constituents who cannot afford to put food on the table,I started off by saying we should help them,Steve Reed has genuinely got constituents who cannot afford to put food on the table,Zanny Minton Beddoes started off by saying we should help those who cannot put food on the table,Short term people are really hurting right now,short term people are really hurting right now,conflict
829812,"Crucially, more than anything else, we need energy that is affordable, that is reliable and that is secure",Right now we don't have any of those three things,"crucially, more than anything else, we need energy that is affordable, that is reliable and that is secure","right now we don't have any of those three things, energy that is affordable, that is reliable and that is secure",We need energy,we need energy,conflict
829981,"it's about £1,000 a year difference","But you know what inflation is now, I mean it's over six per cent","it's about £1,000 a year difference","but Maria Caulfield knows what inflation is now, I mean it's over six per cent",that is already making a difference to households,the changes to the universal credit taper are already making a difference to households,conflict
