sentence1,sentence2,label
AudienceMember20210805QT03 voted for Brexit the current argument about sausages is or is not how AudienceMember20210805QT03 thought Brexit would turn out in terms of Northern Ireland,AudienceMember20210805QT03 is or is not happy with what he sees,rephrase
"the government has been hung up on dates since at least 8 April, the government has been sitting on a report from SAGE saying that hospitality wasn't even responsible",Deborah Frances-White is a comedian,no_rel
many of these people will also be hit by the national insurance rise that's coming in in April next year a lot of people on universal credit are working,the average nurse in the NHS is going to be paying 315 pounds more in her tax,no_rel
"whatever you replace the benefits with, xxx is how David Lammy is going to find the money we will not be going into a general election with uncosted proposals",we will cost that election,inference
"Carlos Unkown was very upset by some of the propaganda on social media like many others, Carlos Unkown is often left thinking that the reason why fake news is so effective is that we really don't know enough about the issue",not knowing the origins of problems like the conflict between Palestine and Israel leaves us quite vulnerable to that manipulation,rephrase
that's what modelling is though some of us looked at the assumptions,just because Mark Harper is not an epidemiologist doesn't mean he does not know how to look at a model,no_rel
"is or is not Alex Massie right, this is the best we could have done in the circumstances as Fiona Bruce says, there's been some sort of quarantine centres or interim places to go",Layla McCay looks at what other countries have done,inference
"we also have a hospitality industry and we have a live entertainment industry we should be very, very proud of the hospitality industry and the live entertainment industry in this country",we are just going to lose the hospitality industry and the live entertainment industry,no_rel
"the level of immigration will be controlled when the truckers crisis blew up, we can't get truckers in, but ballet dancers allowed into this country",Nick Ferrari relies more on a trucker and pig farmer than a ballet dancer,inference
you can not do a trade deal with anyone Ian Blackford will tell a crofter and farmer that they had to sell because we have a common head of state,sharing a head of state will give crofters and farmers comfort,rephrase
there has been a slow burn on this a pattern of behaviour in relation to this government can be seen,"where there are breaches on the rules, nothing seems to happen in this government",rephrase
"we can make this the final time Grant Shapps would love for us to be able to say, right, that's it, caution to the wind, off we go, job done",it doesn't strike him as fair,no_rel
it makes people scared to see face masks we need to have a deep conversation about what is the new normal,how are we going to live together the next year is a conversation that needs to be had,inference
this is a painful place to be this is an unpalatable prospect,this is a difficult scenario we don't want to be in,rephrase
there's only one reason we are delaying this roadmap the Delta variant is why we are delaying this roadmap,there's only one reason the Delta variant is as rampant as it is across the UK,no_rel
it is a very quick vaccine in the fact it has to be stored at -70C the vaccine can’t be kept in the fridge like most normal ones can,that could be an additional logistical challenge,inference
"whether or not they support Kate Forbes and her party, there was a lot of surprise xxx in terms of the domestic oil industry",xxx is when Kate Forbes envisages phasing out the domestic oil industry,rephrase
you have to admit to the public you have to take ownership of the public as well,you treat people like adults,inference
"the new way of doing things is what Andy Burnham is doing in Manchester, what Steve Rotherham is building in liberalism what we are building as a first rather than party first",what we are building is a big change to the way things are done,no_rel
at the other end of this crisis we can see that now we don't complain Fiona Bruce is not entirely sure that answers the question about why the government think there were no shortages,"Fiony Bruce has given Grant Shapps her best shot to get him to answer, Fiona Bruce is not sure she succeeded",rephrase
Nick Thomas-Symonds doesn't think we need to completely abandon the hope of trips abroad a little later in the year we have this mixed messaging on the amber list,the government does need to pause and think again with regard to the loosening of international travel,inference
Steve Reed was surprised by the extent of how widespread this sense of fear is and how many women have experienced abuse or harassment on the streets every woman has the right to feel safe walking around the street of this country any time whatsoever,what happened today and the fear that women feel is not the fault of women,no_rel
"we start to run into Christmas, and also have to deal with all of the other issues that we're currently facing as an industry given the pressures because of the C02 shortage, the HGV driver crisis, we are already seeing prices going up",there are many families that are really going to struggle to make ends meet this Christmas,inference
hospitality should open now or not Deborah Frances-White is getting her information from this government and they are the absolute worse,Deborah Frances-White doesn't know if hospitality should open now,inference
xxx are the panel's thoughts about the rape of men xxx are the panel's thoughts about the rape of gay men,AudienceMember 20210722QT26 is a gay man,no_rel
"one of the key things is you have to plan for this day coming, this referendum we have to make sure that any unity referendum is not like the Brexit referendum and people have a clear, concise knowledge of what it is they are voting for",we need to make sure,rephrase
you are equivocating if you look at the report it highlights a lot of problems,you can't ignore a report that highlights serious problems,rephrase
AudienceMember 20210708QT14 does think it is the Conservative Party promoting division amongst us the Conservative Party is promoting division particularly amongst the working class that seem to have lost the pride in being,the working class is where the identity crisis is,no_rel
"the National Health is a wonderful, wonderful service the people who work in the NHS are wonderful, wonderful people who have put their own lives at risk in order to save other lives",every single one of us pretty much was out on a Thursday night clapping and applauding the NHS workers,rephrase
"we’ve taken a deliberately cautious approach to easing out of lockdown Covid-19 is a dreadful disease, it’s taken thousands of extra lives, tens of thousands across the UK, and would have taken many more if we hadn’t imposed lockdown when we did",Vaughan Gething simply disagrees with Rocco’s characterisation of Covid-19 and its impact,inference
Boris Johnson did what Boris Johnson does for some of those people whose Universal Credit was coming to an end it will be heat or eat,it struck Nick Ferrari for Boris Johnson to deliver a speech in that fashion on the very day that Universal Credit was coming to an end for a lot of people,inference
Rory Stewart thinks that the line Biden is selling is massively misrepresenting the Afghanistan situation because xxx we were conducting since 2014 air operations from bases in support of the Afghan national army,there was no significant pressure against our forces on the ground,no_rel
"today Vaughan Gething had a meeting with his oversight group for their test, trace, protect system, and that’s had a very good start to that we’ve got low numbers",we have less than a hundred people each day who are new infections,rephrase
what we really need here is a bit of a long-term plan we have seen what's going on in social care," it is really great that the Government has now, you know, given some money towards social care",no_rel
"other countries have also done a lot more to try and get support to children in the meantime so that when children do go back to school, we’re not dealing with this enormous attainment gap",the government promised laptops and internet connections months ago but we’re just still not seeing them delivered around the country,no_rel
if we are to regain a sense of normality and not fall into the pessimism a pessimism whether life is ever going to return to normal,we got so horribly used to that sensation of the goalposts moving,no_rel
"the budget has to tackle the potential issues with the hospitality, aviation, or live events sector Audience Member 3 would like to clarify something",Audience Member 3 has beauty salons,no_rel
"a wild cat illegal referendum would bring uncertainty protecting people's jobs, supporting the NHS and rebuilding our educational standards would play second fiddle to a nationalist government who are only interested in separation",Douglas Ross doesn't want uncertainty in Scotland over the next five years,inference
xxx is why has it taken the Scottish government as well as the UK government to 15 February when it comes in to do anything about the spread of the virus variants we are trying to reach an agreement across the four nations,not all the powers are devolved to Scotland,inference
It is absolutely clear the government's too slow shutting of the borders has caused the rampant spread of the delta variant in the UK what the government needs to do now is to put in place alongside the public health measures an economic support measure,we have to extend business rates relief,rephrase
"when it comes to individuals, take for instance the young cricketer, the 19-year-old, the idiotic person Olly Robinson who tweeted or put stuff out on social media for which he has apologised",Olly Robinson has been suspended by the English Cricket Board,inference
climate change is not a party political issue we're in deep shit,we really are in deep shit,rephrase
"Douglas Ross is going to do xxx to cut carbon emissions and sustain the oil and gas sector the UK government has given £16 billion to work with the experts and the people who have trained in oil and gas over decades, to transition to greener forms of renewable energy",the UK government has committed to a transition deal with the oil and gas sector,inference
"the Scottish elections, as everyone will know, are slightly more complicated than the UK elections there's two votes in the Scottish elections",Michelle Dewberry would say that actually Scotland is a country that is almost down the middle divided 50 and 50,no_rel
option A is not an option at all at the moment Lorna Slater doesn't have those powers,the Westminster government won't work with us,no_rel
"today, in the last 24-hours, over 1,000 people have lost their lives to COVID now that is more than every single person who has died in Australia of COVID has died in their entire pandemic",we have lost more than the entire Australian death toll in 24-hours,rephrase
"there seems to be an increasing, very vocal minority in Britain at the moment who seems to think that somehow if a human being in British society is above a certain age or has medical comorbidities it divides British society into two tiers","Rachel Clarke,as a doctor, thinks that is a reprehensible position",inference
they had to keep them in in order to stop the non-tariff barriers being put in place it is ridiculous,"the only upside of all this, Ian Murray spoke to the Scottish Fishing Federation yesterday, because the customers are depressed all over Europe but when that customer base comes back it will be dreadful unless it is done now",no_rel
there seems to be another rule now for everybody else it is safe enough for us to have a few more friends over to watch the football in our home,"if it is safe enough for Matt Hancock and Michael Gove to be sitting in VIP at Wembley watching the football, I hope they had a delightful time",inference
the Royal Family were trying to get away from press they didn't like and get away from media coverage they couldn't control Dan Hodges thinks that the Royal Family trying to get away from the media coverage is the point,Dan Hodges is angry with the Royal Family,no_rel
"scots have a huge amount of potential in renewable energy Lorna Slater knows that workers like yourself would be excited to work in a sustainable industry, an industry that has a long future, an industry that is on the cutting edge","the Scottish Greens would welcome you to come and join our industry with us, and let's work together to build a sustainable future for Scotland",rephrase
anxiety and depressions happens to lots of people one of the most common things is anxiety and depression,it is important that we equip our young people,inference
let's talk to the coach after the tennis match because xxx the eviction ban with tenants on rent arrears has finished when the full restrictions have not been lifted and people have been unable to return to work,in England the coronavirus eviction ban came to an end on Monday,rephrase
for a regime that has come to power through violent means and displaced the government Nelufar Hedayat understands Lisa Nandy's statement about not wanting to fund the Taliban,we should be getting assistance directly to the Afghan people,no_rel
you will see on fresh fruit and veg that you will see fresh fruit and veg in Wheelmore is to Minette Batter's point,Wheelmore is putting new capital to work for more machinery that can do everything,no_rel
the workers can ask for a lot more than they could before average wages have skyrocketed,there are lots of problems with worker shortages,no_rel
Danny Sriskandarajah does know from the experience at Oxfam about how important transparency is the only way that Oxfam has made progress in recent years across the world has been to bring in much higher standards of openness and transparency,"for many people in this country, the hope is that we will come out of this pandemic, you know, this huge shock to our nation, building back fairer",no_rel
there is a requirement for government to be out negotiating trade deals we already do trade deals close to 40 billion a year with Australia,we're Australia's fifth largest trading partner,rephrase
vaccines are more effective then we ever dreamed they could be especially against the Delta variant Covid patients are taking up roughly 1% of hospital beds right now,20210722QT11 from the audience is completely right,inference
Anas Sarwar will or will not ignore that pro-independence majority keeping Scotland in the union isn't different,keeping Scotland in the union is more of the same,rephrase
maybe the network around the royal family that keeps them going needs a looking into maybe we need to look at the network around the royal family or that needs to be looked at a lot deeper,taking a look at the people who surround the royal family is what Bonnie Greer would suggest,rephrase
"listening to the inputs that have been received makes sense Harriet Green worries that with that single point of contact is this then the innovation that has had more people on trains than in any other time in the last century with the innovation, the creativity, it will or will not all be lost because ministers, because government, because Whitehall run the trains",Harriet Green is seeing the innovation potentially as the dead hand of the state are you,no_rel
"If there was a pub that wasn’t playing music Peter Openshaw would or would not be happy to go there Peter Openshaw would be comfortable to go into a pub that was quiet, well-ventilated and you could keep your distance from people",pubs are an industry that is on its knees,conflict
the universal credit in additional welfare spending is 6 billion because of the individuals utility bills,"as Hassan and Nadhim Zahawi headed up to Manchester, they are an extra half a billion for those families and individuals who will find it hard this winter",inference
compulsory vaccinations for care workers were announced today there is going to be a consultation on compulsory vaccinations for the NHS,Sarah Jones thinks the starting point with compulsory vaccinations isn't whose rights are more important,no_rel
"the councillor blocked the person and she said she wouldn't tolerate dehumanising language credit where it's due, that's the leader of Borders Council and Kate Forbes was really impressed","Heather, any further protections that should be taken, if any, are xxx",no_rel
you isolate nurses as a special group isolating nurses as a special group is quite divisive,"Claire Fox would be looking of course at how we can get the economy started again as quickly as possible, with less of the caution as exhibited by the politicians here",no_rel
"a lot of the remarks Boris Johnson made on the George Floyd incident are on the money when it comes to the fact that rather than focusing upon icons and statues, actions speak far louder than words Vaughan Gething has made the point about the criminal justice system",Robert Buckland has responsibility for the criminal justice system in England and Wales,inference
"to give the kind of examples of the competition, there are 30 RNA companies around the world RNA technology is the particular technology that Pfizer used",RNA technology is a new technology that’s at a tipping point,rephrase
we need to solve the fundamental sickness in society that men have we need to change attitudes,"when Nadhim Zahawi was a Minister for Children and Families, we brought in both relationship education at primary school, as compulsory and sex and relationship education at secondary school as compulsory as well and we did a lot of really deep thinking, hard work and consultation for that bit of the curriculum",no_rel
the decision between the member of staff and the people who are being cared for does have to be focused around the people being cared for choosing who gets vaccinated is very difficult,you do have to make a priority choice,inference
"Audience Member works in the emergency department we received the Pfiz vaccine, the first dose",Audience Member would like to ask about the vaccination schedule for healthcare workers,inference
nobody can quantify the indirect effect of the lockdown the lockdown should be eased as quickly as possible in a safe way,people are now aware of the risks,no_rel
AudienceMember 20210722QT17 agrees with some of the panel there when they were talking about the two-tier system AudienceMember 20210722QT17 feels very uncomfortable about people not being able to afford testing,there's one rule for the rich,no_rel
"would or wouldn't Camilla Unknown be prepared to give up her vaccine for another country as a healthcare worker, Camilla Unknown had her vaccine",Camilla Unknown can't say if she would give up her vaccine for another country,inference
AudienceMember 20210805QT22 is right do you want to make a statement or make a difference and AudienceMember 20210805QT22 is talking about making a difference,what AudienceMember 20210805QT22 said is bravo to Fiona Bruce's point,rephrase
"it cannot be one rule for Boris Johnson, and something for the rest of us the scandal who initially paid for the work on the Downing street flat won't go away",we need everything out in the open,inference
"other than getting rid of the foreigners, there was no economic basis in leaving the EU the tide is turning",this is just showing that there was no economic basis in leaving the EU,inference
"it is a tragedy for the hospitality industry and the wider creative industry, destinations, that the UK is in the situation it is in now Thangam Debbonaire wishes that the Government had been driven by data throughout thge COVID-19 pandemic",the Government had been driven by data throughout the COVID-19 pandemic,rephrase
we are the largest in Scotland and part of the supply chain to hotels and restaurants the rules are slightly different in Scotland than England,in Scotland we are allowed to serve food inside with no alcohol up until 8 p.m,no_rel
"the evidence shows that with support, more women and men as well, can carry through their complaints through to proper investigation and prosecution with support, more women and men as well, can carry through their complaints through to proper investigation and prosecution is what Robert Buckland wants to see happen","with support, more women and men as well, can carry through their complaints through to proper investigation and prosecution is what Robert Buckland is going to work towards over the next few years",rephrase
"Benjamin Zephaniah, a Labour defeat would or would not be a final nail in the coffin for the party no, the final nail in the coffin for the Labour party is a long way off",a Labour defeat would just be kind of representative of the decline,conflict
we've found out why Dominic Raab didn't even bother to reply to Lisa Nandy's email about the urgent meeting regarding Afghanistan it turned out that Dominic Raab was on holiday as the Taliban advanced,don't make the mistake of thinking just because some of us recognise this is a complex and difficult situation that all of us need to own up to some level of responsibility,inference
"two-thirds of fish in British Waters being caught by non-British boats can’t be right this is a kind of Colonial relationship where some independent countries have a hold over the sources of another now sovereign, independent country",the reason fishing is such a small percentage of our economy is because it has been decimated,inference
the way any great challenge is tackled is there's been the huge amount of analysis to work out how big the cladding defect problem is cladding defect problem is indeed much larger than perhaps was initially understood,there's an ongoing challenge,rephrase
"no regulatory authority, whether it is the UK medicines regulatory authority or the European Regulatory Authority or the FDA will let anything go through that doesn’t have a totally squeaky clean safety record people completely forget that a vaccine stimulates your immune system, it tricks it to see if it has seen the virus",with a vaccine you are getting an aspect of a viral infection that’s so much minor than the real virus,rephrase
"the Labour candidate for Batley and Spen is Jo Cox's sister that the Labour candidate for Batley and Spen is Jo Cox's sister is really, really important","there's that particular area, that particular part of the world is not far from where AudienceMember 20210708QT17 is, there's a lot of discontent, a lot of disillusionment, a lot of discord between the communities",no_rel
full credit goes to Minister Zahawi for the vaccine programme we shouldn't endanger the current position by actually having open movement of individuals in and out when we still have a lot of people unvaccinated,we still have a new virus variant that we don't fully understand in terms of immune protection,no_rel
Boris Johnson was wrong about there being no question of there being checks on goods going from Great Britain to Northern Ireland Boris Johnson is not right about there being no question of there being checks on goods going from Great Britain to Northern Ireland,the point the UK government made was that Northern Ireland businesses will have unfettered access as part of the UK,no_rel
the SNP does not have an absolute majority the Scottish Greens have indicated that they're in favour of a referendum,the Scottish Greens have indicated that they're in favour of a referendum very strongly,rephrase
what the Government has thus far offered has been a mixture of grants and loans the government is offering grants and loans very slowly,the Government has got to cough up the cash,inference
the government isn't matching that level of progress and that level of ambition because xxx you know what needs to be done,"James Cleverly has mentored black people in business, black people in the civil service",no_rel
Helle Thorning-Schmidt would again say that find a good balance with also the teachers and take the heat out of it the only way the balances between children's future and the duration of the lockdown can be solved is by being pragmatic,Claire thinks of what she has heard from Helle Thorning-Schmidt that xxx,no_rel
"let's be clear about this the British tabloid press being racist, AudienceMember 20210318QT22 thinks, is the issue here",there are racists in the British media,no_rel
18 months and Boris Johnson has not done a single thing about the Russia report recommendation the Government is serious about defending the integrity of our democracy,"instead of making it harder for people here to have an influence over the outcome of our democratic elections, the Government really should be making it harder for people overseas, including foreign donors, to influence the integrity of our electoral systems",inference
the Labour Party is very good at telling us what it doesn't like the Labour Party's very good at telling us what the divisions are in our country,what the Labour Party's useless at is actually coming up with prescriptions,conflict
the country needs to try and find a solution in the next two or three months we really could be in a terrible situation in the next two or three months,Mike has had his hand up from the start,no_rel
the left hand doesn't really know what the right hand's doing on COVID restrictions Brian Cox loves the idea of normal life and we aren't living a normal life,normal life is xxx,no_rel
"we are talking a minimum five years before anything could change, and even then it likely might not Angela Haggerty thinks it is appalling, the level of betrayal",the betrayal has happened in fishing industry,no_rel
it's not for Danny Sriskandarajah to pass judgment on the matter of Boris Johnson not paying for the work on the Downing Street flat straight away Danny Sriskandarajah does know from the experience at Oxfam about how important transparency is,the only way that Oxfam has made progress in recent years across the world has been to bring in much higher standards of openness and transparency,rephrase
it's got to be both transparency and trust the Electoral Commission is investigating the question of Boris Johnson's extension,the UK Government have transparency and trust,inference
"trade deals start to undermine our NHS they default, as Douglas Ross has already done, to tax cuts and austerity as their way to deal with the recovery",cuts and austerity is not going to suit Scotland,inference
where social media doesn't work in our favour we have to fight the underlying issue that is in every culture coming up where hate is being spread,we stay silent,no_rel
all they want are the facts all they want is the truth,all they want is substance,rephrase
kids really need help there are going to be young people leaving school very shortly,young people have had hardly any education for their final years,inference
this war was for xxx the purpose of the war was xxx,the number of lies that were told to us is xxx,no_rel
Paul Polman considers himself to be part of that public at large we should not let other money come into politics to influence the decisions that need to be taken,"in Paul Polmans' book Net Positive that just came out, he specifically discusses the $3.5 billion that industry is using to lobby to influence laws",no_rel
xxx is how one can get assistance to the Afghan people the United Nations have a position on the ground,the UN are there only because the Taliban allow it,conflict
nobody is actually looking at the accessibility of the drug folk behave in a certain kind of way after drinks or what have you,nobody is really looking at what the drug and accessibility to it are,inference
"the first thing that Harriet Green sees from her perspective is on level of accountability, so the timeliness of the trains, the cleanliness, the schedule there's a single point of responsibility and accountability",being responsible and accountable makes sense,rephrase
James Graham does or does not want more bailouts the government has provided all sorts of money in terms of Coronavirus interruption loans for business,the money provided by the government in terms of Coronavirus interruption loans have been for businesses,rephrase
"the protestors on the M25 wouldn't have to take those actions the government does something about climate change, instead of claiming to be, you know, the leader of the world in climate change",there wouldn't be a problem,inference
Mark Harper is not prepared to accept people who disagree with you then be accused of wanting to kill lots of people this is a balance judgement,"you have to balance scientific advice, the consequences and the economic impact",rephrase
what the government needs to do urgently is to sort out the mess at the airports the government should support the airports to be able to separate those passengers in a safe way,Nick Thomas-Symonds is all over the place on the aiports needing help to seperate the passengers in a safe way,conflict
"we’re now in a much better place to give you an idea, if that were equivalent for the whole of the UK, we’d have a UK capacity of well over 260,000 tests","actually we have more than, if you like, the share of the whole UK capacity would be because of the programme we have successfully implemented",no_rel
"we need to focus on our economy with jobs possible not back to pre-Covid levels for 2 or 3 years we need to focus on education, retraining, with older people losing their jobs and catching up with younger people",the Scottish Labour Party has been focusing on these other issues,no_rel
the public can be used to help track and trace the people who potentially would have been infected you need the public to have trust in that system,you need that trust from the public,rephrase
you've got these parties that are basically not fitting in with the standard parties the Tories are overtrying with this mandating of the flag,the Tories got to win the arguments to get new voters rather than trying to force the union to work that way,rephrase
the Taliban are absolutely abiding by all those rules the Taliban abiding by these rules could be a front,Nelufar Hedayat hopes the Taliban abiding by these rules is not a front,no_rel
obviously what Vaughan’s referring to is Adam Price's apology for comparing Wales to a kind of colonial outpost when we’re looking at the real big issues of politics one of the rather petty things that we do in politics in the United Kingdom is bring it down to personalities,"there’s nothing petty about the personalities of politicians, the personalities of politicians matter",conflict
the third thing is we have said we will work with the G7 right now the greatest benefit to the international community is to get everybody vaccinated,this is going be to discussed in the next couple of days to vaccinate everybody in the world by the end of next year which will involve us giving some vaccines and re-routing vaccines et cetera,inference
AudienceMember 20210624QT12 had both of their vaccines AudienceMember 20210624QT12 is not vaccine hesitant,"there's something wrong where we tell people unless they pump their body full of a chemical, they are out of their job",conflict
AudienceMember 20210819QT18 supplies food to the hospitality industry we are the largest in Scotland and part of the supply chain to hotels and restaurants,the rules are slightly different in Scotland than England,no_rel
Hugh Osmond doesnt know what Labour's policies are any more Thangam Debbonaire and Robert Jenrick have disagreed over many things,Thangam Debbonaire thinks Robert Jenrick would say they've disagreed on many a case,rephrase
"Chris Philp, we are still waiting for a report from the Conservative party into prejudice when are we going to see that report from the Conservative party into prejudice",the report from the Conservative party into prejudice was announced last year,inference
things in Afghanistan clearly haven't improved enough the government collapses,"politicians like Rory Stewart, and all politicians should begin any comment on Afghanistan with an apology first and then an explanation",no_rel
"anybody who says this is going to be simple and easy, particularly for hospitality, has got that wrong Anneliese Dodds did empathise a lot with what people have said",Anneliese Dodds did also empathise a lot with what people have said for the beauty industry as well,rephrase
a smaller proportion here than in our European countries and across the world is concerned about taking the vaccine we don’t want to get into a Dutch auction of whose regulator is better,"we did do the phase 1, 2 and 3 tests here",no_rel
the National Highways got hold of an injunction the other night the injunction to stop the climate protestors on the M25 is now in place,we want to solve climate change,no_rel
Robert Buckland is a proud Welshman Robert Buckland loves being part of Britain,Scotland is also Robert Buckland's country,rephrase
other universities are looking at making some repayment the government should look at other universities as well and see whether there’s support they can give,the absolute key has to be we crack this pandemic and we make sure we come back to normal as quickly as possible so everybody has to adhere to the rules,no_rel
"that is the worst part about it, to see politicians this week saying, ""I'm shocked at this collapse, shocked it didn't work out the way ... "" politicians were discussing it amongst themselves that this Afghan army is not up to it, that there is corruption in the government, no-strike is not working, and they're not winning",politicians knew,inference
the kind of world and kind of Wales that we want to build the kind of new Wales that we want to build is at the heart of the independence message,the independence message is appealing to young people,inference
"AudienceMember 20210902QT26 doesn't understand the role that you played, Lisa Nandy, in terms of putting pressure on the government when AudienceMember 20210902QT26 hears from Lisa Nandy and Keir Starmer, AudienceMember 20210902QT26 doesn't get a good feel","AudienceMember 20210902QT26 hasn't seen an impassioned, heartfelt speech in the - no doubt this evening",no_rel
the quota on New Zealand lamb is driven by the customer the quota on New Zealand lamb is driven by simple economics,you're an Australian beef farmer,no_rel
the aspects of ventilators and intensive care beds being available in the UK response to Coronavirus including the relationship to the timing have all worked in this country very well Chris Philp thinks that we can all collectively take some pride in the way as a nation we have come together during the Coronavirus pandemic,Chris Philp thinks the UK population can take collective national pride in the way we have worked together on the reponse to the Coronavirus pandemic,rephrase
Welsh supporters can't go and see the game in Amsterdam which is being played on Saturday night against Denmark Denmark supporters can go to the football game,Welsh supporters can't go to the football game,conflict
"Jo Grady is going to endorse the point that listening to professionals is vital to anything that happens going forward with regard to the exact question, Jo Grady thinks catch-up is a bit of a distraction, particularly for schools, particularly colleges and universities","the idea that people stop working and can invest time in catch-up is, in itself, problematic",rephrase
"you are or are not happy with the way that's going Chris he was in terms of the advice it will solve and change over time, particularly as scientific Chris gets updated",people should wear face coverings on public transport,no_rel
Andi Unknown is after the 48 per cent there's too much of blaming that goes in politics,all political parties blame,rephrase
business needs to give employees answers beauty salons are running out of cash fast,beauty salons need to budget and plan,inference
we're seeing labour shortages in our farms there are labour shortages in picking and packing food,there are labour shortages for getting food onto supermarket shelves,rephrase
Paul Polman's daughter-in-law who lives in the UK is from Singapore Paul Polman's daughter-in-law has to deal with people using racist words towards her every week,Paul Polman's daughter-in-law is a lawyer in London,no_rel
"AudienceMember 20210318QT14 agrees with everything that has been said so far, particularly about the education of people, particularly young men a very important factor is everybody would feel a lot safer if we had a more visible police presence on our streets",AudienceMember 20210318QT14 thinks it is a reassuring thing to see police on our streets as a form of protection for us all,rephrase
the Oxford AstraZeneca vaccine is being sold at cost we are putting the interests of a few big pharmaceuticals above the interests of people around the world,"the more this vaccine rips through countries like India, the more chances it will mutate",no_rel
Gillian Keegan does or does not think footballers shouldn't take the knee Fiona Bruce is just asking Gillian Keegan's opinion,"whether it is the statues or taking the knee, we've ended up with these things that divide us and united societies",no_rel
the argument that the British media is somehow exempt from racism would be ridiculous Dan Hodges will know these often quoted examples of Kate Middleton as well as anybody,"they don't call her Kate Middleton these days, but Kate tenderly cradles her baby",inference
"the blockage appears to stem from a lack of joined up planning and a refusal to use all the resources available to us if Israel can manage 16,000 vaccinations every day, why can’t we do better",we can’t do more vaccinations,rephrase
"after the G7, Cornwall a county with very, very few infections spiked-up especially around Carbis Bay, and Falmouth where the journalists were the communication is xxx",AudienceMember 20210722QT09 now really doesn't understand the rules even though they read them,no_rel
in our society there are people undertaking normal transactions that absolutely accept the point that with regard to specific transactions a form of ID is a normal thing Robert Buckland can is very much against a general ID card policy,Robert Buckland doesn't believe in ID card policy,inference
the killing of Sir David Amess was a tragedy for the people of Southend we don't want an equivalent tragedy,an equivalent tragedy would be that we let terrorism win by standing between our elected members of parliament and members of Scottish parliament and the people that they represent,rephrase
the infection rate has been rising here we have to stick to this July date,Rosemary Squire does or does not have any sympathy with the idea it is best to delay for four weeks to try to stop another wave,inference
"maybe the network around the royal family that keeps them going needs a clear-out it is just not the Mountbattens Windsors, it's a whole lot of people",maybe the network around the royal family that keeps them going needs a looking into,inference
if necessary we can fly the vaccine from Belgium flying the vaccine is a lot more expensive than coming through a lorry,the importance of the vaccine can’t be underestimated,no_rel
the labour shortages aren't just about HGV drivers we're seeing labour shortages in our farms,there are labour shortages in picking and packing food,rephrase
the MPs should not taking on multiple roles MPs have time to take payment from other companies,by taking on multiple roles it is saying the issues within MPs constituency is a part-time role,inference
the facts are that we need to pay for whatever it is that we do provide the universal credit system actually handled the coronavirus increase in the number of people who required assistance very well,the universal credit system is working vastly better than the system that it replaced,inference
before Christmas Daisy Cooper co-ordinated a group of 40 MPs on a cross-party basis to ask the Government to change two or three things first of all what carers were asking for,it was OK for paid carers to be going in but not for family carers to be going in and out,no_rel
Manchester University has made some accommodation or not Manchester University has made some accommodation,Manchester University has not made some repayment for teaching,no_rel
"it is going to be viable or not for Rocco Forte, for example, to open the hotels he has around the world It is not going to be viable for Rocco Forte to open the hotels he has around the world",Rocco Forte has got hotels around the world,no_rel
