sentence1,sentence2,label
we have this mixed messaging on the amber list,the government does need to pause and think again with regard to the loosening of international travel,inference
every woman has the right to feel safe walking around the street of this country any time whatsoever,What happened today and the fear that women feel is not the fault of women,no_rel
"given the pressures because of the C02 shortage, the HGV driver crisis, we are already seeing prices going up",there are many families that are really going to struggle to make ends meet this Christmas,inference
I'm getting my information from this government and they are the absolute worse,I don't know,inference
What about gay men,I'm a gay man,no_rel
"we have to make sure that any unity referendum is not like the Brexit referendum and people have a clear, concise knowledge of what it is they are voting for",We need to make sure,rephrase
If you look at the report it highlights a lot of problems,you can't ignore a report that highlights serious problems,rephrase
particularly amongst the working class that seem to have lost the pride in being,That's where the identity crisis is,no_rel
"the people who work there are wonderful, wonderful people who have put their own lives at risk in order to save other lives",Every single one of us pretty much was out on a Thursday night clapping and applauding them,rephrase
"It is a dreadful disease, it’s taken thousands of extra lives, tens of thousands across the UK, and would have taken many more if we hadn’t imposed lockdown when we did",I simply disagree with Rocco’s characterisation of Covid-19 and its impact,inference
for some of those people it will be heat or eat,It struck me to deliver a speech in that fashion on the very day that Universal Credit was coming to an end for a lot of people,inference
we were conducting since 2014 air operations from bases in support of the Afghan national army,There was no significant pressure against our forces on the ground,no_rel
we’ve got low numbers,we have less than a hundred people each day who are new infections,rephrase
We have seen what's going on in social care,"It is really great that the Government has now, you know, giving some money towards social care",no_rel
"so that when children do go back to school, we’re not dealing with this enormous attainment gap",The government promised laptops and internet connections months ago but we’re just still not seeing them delivered around the country,no_rel
a pessimism whether life is ever going to return to normal,we got so horribly used to that sensation of the goalposts moving,no_rel
I would like to clarify something,I have beauty salons,no_rel
All of these things would play second fiddle to a nationalist government who are only interested in separation,I don't want that uncertainty in Scotland over the next five years,inference
We are trying to reach an agreement across the four nations,You'll know that not all the powers are devolved to Scotland,inference
What the government needs to do now is to put in place alongside the public health measures an economic support measure,business rates relief,rephrase
Olly Robinson who tweeted or put stuff out on social media which he has apologised,he has been suspended by the English Cricket Board,inference
We're in deep shit,we really are,rephrase
"£16 billion to work with the experts and the people who have trained in oil and gas over decades, to transition to greener forms of renewable energy",the UK government has committed to a transition deal with the oil and gas sector,inference
There's two votes,I would say that actually Scotland is a country that is almost down the middle divided 50 and 50,no_rel
you don't have those powers,the Westminster government won't work with us,no_rel
Now that’s more than every single person who has died in Australia of COVID has died in their entire pandemic,We have lost more than the entire Australian death toll in 24-hours,rephrase
it divides British society into two tiers,"I, as a doctor, think that is a reprehensible position",inference
It is ridiculous,"The only upside of all this, and I spoke to the Scottish Fishing Federation yesterday, because the customers are depressed all over Europe but when that customer base comes back it will be dreadful unless it is done now",no_rel
it is safe enough for us to watch a few more friends over to watch the football in our home,"If it is safe enough for Matt Hancock and Michael Gove to be sitting in VIP at Wembley watching the football, I hope they had a delightful time",inference
And I think that is the point,So you're angry with them,no_rel
"I know that workers like yourself would be excited to work in a sustainable industry, an industry that has a long future, an industry that is on the cutting edge","we would welcome you to come and join our industry with us, and let's work together to build a sustainable future for Scotland",rephrase
"one of the most common things, anxiety, depression",it is important that we equip our young people,inference
Why has the eviction ban with tenants on rent arrears finished when the full restrictions have not been lifted and people have been unable to return to work,in England the coronavirus eviction ban came to an end on Monday,rephrase
I understand your statement about not wanting to fund the Taliban,we should be getting assistance directly to the Afghan people,no_rel
which is to your point,they're putting new capital to work for more machinery that can do everything,no_rel
Average wages have skyrocketed,there are lots of problems with it,no_rel
the only way that we have made progress in recent years across the world has been to bring in much higher standards of openness and transparency,"for many people in this country, the hope is that we will come out of this pandemic, you know, this huge shock to our nation, building back fairer",no_rel
We already do close to 40 billion a year with Australia,we're their fifth largest trading partner,rephrase
Covid patients are taking up roughly 1% of hospital beds right now,Charlie from the audience is completely right,inference
Keeping us in the union isn't different,that's more of the same,rephrase
Maybe we need to look at that or that needs to be looked at a lot deeper,That's what I would suggest,rephrase
"What worries me is that with that single point of contact is this then the innovation that has had more people on trains than in any other time in the last century with the innovation, the creativity, will that all be lost because ministers, because government, because Whitehall run the trains",So you're seeing that potentially as the dead hand of the state are you,no_rel
"I would be comfortable to go into a pub that was quiet, well-ventilated and you could keep your distance from people",This is an industry that is on its knees,conflict
because of their utility bills,"As we headed up to Manchester, Hassan, we are an extra half a billion for those families and individuals who will find it hard this winter",inference
there is going to be a consultation on going wider to the NHS,I think the starting point with this issue isn't whose rights are more important,no_rel
"Credit where it's due, that's the leader of Borders Council and I was really impressed","Heather, what, if any, further protections",no_rel
it's quite divisive,"I would be looking of course at how we can get the economy started again as quickly as possible, with less of the caution as exhibited by the politicians here",no_rel
Vaughan has made the point about the criminal justice system,I have responsibility for that in England and Wales,inference
This is the particular technology that Pfizer used,It is a new technology that’s at a tipping point,rephrase
We need to change attitudes,"When I was a Minister for Children and Families, we brought in both relationship education at primary school, as compulsory and sex and relationship education at secondary school as compulsory as well and we did a lot of really deep thinking, hard work and consultation for that bit of the curriculum",no_rel
it is very difficult,You do have to make a priority choice,inference
"We receives the Pfiz vaccine, the first dose",I would like to ask about the vaccination schedule for healthcare workers,inference
the lockdown should be eased as quickly as possible in a safe way,people are now aware of the risks,no_rel
I feel very uncomfortable about people not being able to afford testing,there's one rule for the rich,no_rel
"as a healthcare worker, I've had mine",I can't say that,inference
Do you want to make a statement or make a difference and she is talking about making a difference,Bravo to your point,rephrase
this scandal won't go away,we do need everything out in the open,inference
the tide is turning,this is just showing that,inference
I wish the government had been driven by data throughout this crisis,they had,rephrase
The rules are slightly different in Scotland than England.,In Scotland we are allowed to serve food inside with no alcohol up until 8 p.m,no_rel
That is what I want to see happen,That's what I'm going to work towards over the next few years,rephrase
"No, that's a long way off",it would just be kind of representative of the decline,conflict
it turned out that he was on holiday as the Taliban advanced,don't make the mistake of thinking just because some of us recognise this is a complex and difficult situation that all of us need to own up to some level of responsibility,inference
"This is a kind of Colonial relationship where some independent countries have a hold over the sources of another now sovereign, independent country",the reason fishing is such a small percentage of our economy is because it has been decimated,inference
it is indeed much larger than perhaps was initially understood,There's an ongoing challenge,rephrase
"people completely forget is that a vaccine stimulates your immune system, it tricks it to see if it has seen the virus",you are getting an aspect of a viral infection that’s so much minor than the real virus,rephrase
"that's really, really important","there's that particular area, that particular part of the world is not far from where I am, there's a lot of discontent, a lot of disillusionment, a lot of discord between the communities",no_rel
why would we endanger that by actually having open movement of individuals in and out when we still have a lot of people unvaccinated,we still have a new variant that we don't fully understand in terms of immune protection,no_rel
"He’s not right, is he",The the point we made Northern Ireland businesses will have unfettered access as part of the UK,no_rel
the Scottish Greens have indicated that they're in favour of a referendum,Very strongly,rephrase
some of them preceding very slowly isn't enough to meet that,it's gots to cough up the cash,inference
You know what needs to be done,"I have mentored black people in business, black people in the civil service",no_rel
The only way this can be solved is by being pragmatic,"Claire, what do you think of what you have heard?",no_rel
There is racism in the British media,There are racists in the British media,no_rel
you're serious about defending the integrity of our democracy,"instead of making it harder for people here to have an influence over the outcome of our democratic elections, you really should be making it harder for people overseas, including foreign donors, to influence the integrity of our electoral systems",inference
It's very good at telling us what the divisions are in our country,What it's useless at is actually coming up with prescriptions,conflict
we really could be in a terrible situation,"Mike, you’ve had your hand up from the start",no_rel
I love the idea of normal life and we aren't living a normal life,What is normal life,no_rel
"I think it is appalling, the level of betrayal,","actually, that has happened in that industry.",no_rel
I do know from our experience at Oxfam about how important transparency is,the only way that we have made progress in recent years across the world has been to bring in much higher standards of openness and transparency,rephrase
the Electoral Commission is investigating that,We have that,inference
"they default, as Douglas has already done, to tax cuts and austerity as their way to deal with the recovery",that's not going to suit Scotland,inference
we have to fight that,we stay silent,no_rel
All they want is the truth,All they want is substance,rephrase
there are going to be young people leaving school very shortly,have had hardly any education for their final years,inference
What was the purpose of the war,How many lives were told to us,no_rel
to what extent do we let other money come into politics to influence the decisions that need to be taken,"In my book Net Positive that just came out, I specifically discussed the $3.5 billion that industry is using to lobby to influence laws",no_rel
The United Nations have a position on the ground,Because the Taliban allow it,conflict
folk behave in a certain kind of way after drinks or what have you,Nobody is really looking at that element,inference
There's a single point of responsibility and accountability,that makes sense,rephrase
The government has provided all sorts of money in terms of Coronavirus interruption loans for business,that kind of thing,rephrase
"the government did something about climate change, instead of claiming to be, you know, the leader of the world in climate change",there wouldn't be a problem,inference
This is a balance judgment,You have to balance all those things,rephrase
support the airports to be able to separate those passengers in a safe way,you're all over the place on this,conflict
"To give you an idea, if that were equivalent for the whole of the UK, we’d have a UK capacity of well over 260,000 tests","actually we have more than, if you like, the share of the whole UK capacity would be because of the programme we have successfully implemented",no_rel
"education, retraining, with older people losing their jobs and catching up with younger people",the Scottish Labour Party has been focusing on these issues,no_rel
You need them to have trust in that system,you need that trust from the public,rephrase
the Tories are overtrying with this mandating of the flag,they've got to win the arguments to get new voters rather than trying to force the union to work that way,rephrase
It could be a front,I hope it isn't,no_rel
when we’re looking at the real big issues of politics one of the rather petty things that we do in politics in the United Kingdom is bring it down to personalities,"There’s nothing petty, it matters",conflict
right now the greatest benefit to the international community is to get everybody vaccinated,this is going be to discussed in the next couple of days to vaccinate everybody in the world by the end of next year which will involve us giving some vaccines and re-routing vaccines et cetera,inference
I'm not hesitant,"there's something wrong where we tell people unless they pump their body full of a chemical, they are out of their job",conflict
We are the largest in Scotland and part of the supply chain to hotels and restaurants,The rules are slightly different in Scotland than England.,no_rel
I think Robert will bear witness to the fact that we have disagreed over many things.,I think Robert would say we've disagreed on many a case,rephrase
When are we going to see that,It was announced last year,inference
the government collapses,"politicians like Rory, and all politicians should begin any comment on Afghanistan with an apology first and then an explanation",no_rel
I did empathise a lot with what people have said,also for the beauty industry as well,rephrase
We don’t want to get into a Dutch auction of whose regulator is better,"We did do the phase 1, 2 and 3 tests here",no_rel
That injunction is now in place,we want to solve climate change,no_rel
I love being part of Britain,Scotland is also my country,rephrase
the government should look at that as well and see whether there’s support they can give.,But the absolute key has to be we crack this thing and we make sure we come back to normal as quickly as possible so everybody has to adhere to the rules,no_rel
"they were discussing it amongst themselves that this Afghan army is not up to it, that there is corruption in the government, no-strike is not working, and they're not winning",They knew,inference
that's really at the heart of the independence message,it's appealing to young people,inference
"when I hear from you and Keir Starmer, I don't get a good feel","I haven't seen an impassioned, heartfelt speech in the - no doubt this evening",no_rel
it's driven by simple economics,you're an Australian beef farmer,no_rel
I think we can all collectively take some pride in the way as a nation we have come together,I think we can take collective national pride in the way we have worked together on that,rephrase
Denmark supporters can go,Welsh supporters can't go,conflict
"with regard to the exact question, I think catch-up is a bit of a distraction, particularly for schools, particularly colleges and universities","The idea that people stop working and can invest time in catch-up is, in itself, problematic",rephrase
"it will solve and change over time, particularly as scientific Chris gets updated",people should wear face coverings on public transport,no_rel
there's too much of this that goes in politics,all political parties do it,rephrase
We are running out of cash fast,We need to budget and plan,inference
in picking and packing food,getting it onto supermarket shelves,rephrase
she has to deal with this every week,She is a lawyer in London,no_rel
a very important factor is everybody would feel a lot safer if we had a more visible police presence on our streets,I think it is a reassuring thing to see police on our streets as a form of protection for us all,rephrase
we are putting the interests of a few big pharmaceuticals above the interests of people around the world,"the more this vaccine you know, rips through countries like India, the more chances it will mutate",no_rel
I'm just asking your opinion,"Whether it is the statues or taking the knee, we've ended up with these things that divide us and united societies",no_rel
"You'll know these examples as well as anybody, but the example often quoted of Kate Middleton,","they don't call her Kate Middleton these days, Kate tenderly cradles her baby",inference
"If Israel can manage 16,000 vaccinations every day, why can’t we do better",Why can’t we,rephrase
What's the communication,I now really don't understand the rules even though I read them,no_rel
"Now, can I say, I'm very much against a general ID card policy",I don't believe in it,inference
We don't want an equivalent tragedy,which is that we let terrorism win by standing between our elected members of parliament and members of Scottish parliament and the people that they represent,rephrase
we have to stick to this July date,do you have any sympathy with the idea it is best to delay for four weeks to try to stop another wave,inference
"it is just not the Mountbattens Windsors, it's a whole lot of people",Maybe that needs a looking into,inference
That is a lot more expensive than coming through a lorry,The importance of the vaccine can’t be underestimated,no_rel
we're seeing shortages in our farms,in picking and packing food,rephrase
So I therefore have time to take payment from other companies,By taking on multiple roles it is saying the issues within their constituency is a part-time role,inference
actually handled the coronavirus increase in the number of people who required assistance very well,The universal credit system is working vastly better than the system that it replaced,inference
First of all what carers were asking for,why was it OK for paid carers to be going in but not for family carers to be going in and out,no_rel
"Yes, for accommodation,",not for teaching.,no_rel
"No, it isn’t",You’ve got hotels around the world,no_rel
have a strategy,"in Scotland, don't waste our time creating a vaccine passport scheme that doesn't work",no_rel
the idea that she is trying to hide away in some way couldn't be further from the truth,and you know it,rephrase
we can’t have the whole of the United Kingdom hanging on an app developer developing an app,you’ve got to have the whole infrastructure,conflict
"If I look at crofters in Skye or elsewhere, in the Highlands, there's no alternative to sheep farming","If we cannot make money from selling sheep, that livelihood, that way of life that has existed for generations comes to an end",inference
people haven't got access already to photographic ID,you must make it free to access photographic ID,inference
"once they get out of Europe, away from the media, where there are governments that can't or don't regulate or whatever it is, and those companies in those countries are behaving in a blatantly irresponsible way",What we need to do is be looking carefully at our supply chains,inference
it would go a long way,your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point,inference
There are always ways of getting around that kind of thing,"if you're a very poor woman with children, living alone, with no resources, and no knowledge of how to argue these things and where to find help",conflict
you do,it is how you feel,rephrase
A lot of people weren't in the best physical condition because of unhealthy diet,part of the reason that the UK was hit so hard with COVID-19 was because we had a public health problem,inference
and the conditions at truck stops,and it's because the conditions haven't been pleasant,inference
So I’ve tried to keep our business as safe as possible for so long as possible.,"But I think Mark hit the nail on the head when he said that, you know, this new variant really changed the game.",no_rel
"24,000 of those 25,000 have been recruited already and are in advance stages of training, so will be ready to deploy on 1st June","the app will be a few weeks after that, which will further augment the system",inference
"thinking about it at the time, that the three-month initial lockdown was going to sort things out, I think that was a big mistake","when it comes to this time now that we’re in, I think the people are suffering from lockdown fatigue",no_rel
"We've just left them, holding a hot potato","We've left them to deal with it with a group that, over the last 20 years, have become calculating, have become smart",rephrase
"looking at the data from the Home Office and the CPS, and the justice department Robert, I mean it is shocking",It is absolutely shocking,rephrase
"I’m just telling that as a cautionary tale for others, try to put your pride and ego aside when you’re making decisions that are political or relationship based or in your business",it seems that some Republicans are getting buyer’s remorse and regretting that Donald Trump is their representative in the presidential race,no_rel
I voted for it because of consent because that gave me an opportunity to work every day to convince people why the merits of a united Ireland is in their interests,"There’s no contradiction in trying to make the protocol work, which I’m wedded to, but also the Good Friday Agreement",inference
"The Scottish Labour Party don't agree, the Scottish Liberal Democrats, the Scottish Tories do not agree",there is no consensus,inference
as any family is curious,Is this baby going to have red hair,rephrase
it is something you have to work on,so long as they’re doing their bit and keeping it well-ventilated and following guidelines,no_rel
how the Green Party can justify the increase through taxation when part of their manifesto is looking towards moving to a four-day working week,"the kind of taxes that we're looking at are windfall taxes on massive corporations and, for example, a wealth tax on people who have assets of over a million pounds",conflict
"We all hope for a vaccine,",we hope for better interventions,rephrase
"The origin, the basis of that was not race",So Megan was chosen to be the baddy and Kate was the goody,no_rel
it's less than 1%,"it's way, way down",inference
that's been disrespected,It is now clear there's a mandate from the Scottish people,no_rel
"before Christmas, I have to say, we were very concerned about the situation then","we’re probably seeing, sadly, because of the lag in this disease then coming through into hospitals",no_rel
everyone has something to contribute,"it is our task, our mission is to go and find what is good in people",inference
this is not a short term problem,what we need to see for a just in time supply chain is some long term planning,inference
People like there -- they want to see a ban on high carbon products being advertised,There are some win wins here,no_rel
the way that it changes,there are plenty of people that enjoy socially mixing,no_rel
My daughter-in-law who lives in the UK is from Singapore,she has to deal with this every week,inference
the state of our streets and the cuts to cleansing services,we have our cleansing workers going on strike during COP26,inference
it's not just HGV,we need to get on with the visas so that these people can come in,inference
"where it holds to account both some of the political decisions, but also those in the military hierarchy who were responsible for strategic and operational decisions that have led to failure",have a full parliamentary inquiry that Boris Johnson is trying to weasel out of having,inference
I'm talking about an industry that is going to be imperiled by the gross stupidity and willful negate your government people,Why wouldn't people still want to buy them,no_rel
That’s just factually accurate,That’s what it is,rephrase
it will be much better if the military was involved in the command and control rather than just the delivery side,I hope that’s the case,rephrase
"if you talk to the CPS or you talk to procurator fiscal, the evidence has got to be there where you've got an opportunity of taking something to court","When it comes to evidence and trying to find out who the perpetrators are, that is a tremendously difficult aspect",inference
we all benefit by having our young people right at the heart of a democracy,we all gain,rephrase
"I think the people who are booing, I don't think the vast majority of them are racist",I don't think we can call them racist,rephrase
"When you say a cull, we won't be eating these pigs",they will be incinerated and that's the end of it,rephrase
actually accept that sometimes it's going to be difficult,"Let's get honest with them, tell them how it's going to be, and actually then address difficult issues that are going to be difficult",rephrase
I hope that we can advance the timeframe,we're going to be serious about developing this technology,inference
without transparency,it's got to be both,rephrase
that doesn’t mean it is going to be the only vaccine,I think what is encouraging we’ll see a series of vaccines coming through which may have different advantages for distribution,no_rel
"on the question of Alex Salmond and Nicola Sturgeon, I have worked with Nicola Sturgeon for five years",I know her to be a woman of considerable integrity,inference
we can see from the Robert Genrik affair how powerful they actually are,what that does is give the whip hand to rich developers to be the only people in the market for house-building,inference
"He needs policies, a narrative, a goal, a clear story to tell",I supported him,no_rel
the pandemic is what is at the forefront of everybody's mind now,"It's not about the SNPs, Labour, the Tories",no_rel
It is this arm's length government body it looks like that is going to have this central coordination,there is that increased measure of public input,inference
Obviously the deal went right down to the wire so there wasn’t time for businesses to prepare. ,when we all know it is because of the fact that there’s not a readiness on the British end in terms of being able to adjust to the new trading appearance.,rephrase
I'm delighted about the three years for young people to go and work there,farming and agriculture is massive,no_rel
this task force launched yesterday is designed to address exactly these issues,in the meantime that task force is here to help with exactly what with what James and Gerald are raising,rephrase
"we have seen is that schoolchildren, students, young people have been hammered by school closures, university closures and so forth","industries in which young people work, the retail industry, the hospitality industry, have also been absolutely hammered by COVID and the recession",rephrase
"The reasons why you were able to leave home were really, really, really limited","The whole issue for me comes down to the point when Dominic Cummings made this journey everybody was told ""you have got to stay at home""",inference
"My sister buried people, that was her job, then we got the virus","when we came here tonight, the Question Time Panel, we were careful",no_rel
which started here in Glasgow,for the first time people are starting to realise that the cost of not accounting now is infinitely higher than the cost of acting,no_rel
which is right,"within the UK, one of the reasons we worked across as four nations, Scotland and Wales Northern Ireland, England, with the devolved authorities looking at what is right for them",inference
It is about the SNP seeking the truth,"It's not about the SNPs, Labour, the Tories",inference
So when we’re supporting an increase in access for disabled people we’re actually supporting ourselves,"It is about how do we increase access for all of us, including disabled people",rephrase
"The importance of having the support for people who, for instance, are required to isolate because of test and trace",It is up to the UK Government,no_rel
at least an education of the jury,There are so many cultural rape things in people's minds,no_rel
That's kind of option A,"it's not an option at all at the moment, is it",no_rel
a GP who's skilled will know that there may be some other underlying issue or ask you a question that leads you to go for a further check-up,so people should absolutely have that right ability,inference
the Afghan people will win,this country took me in,no_rel
I can understand people’s worry,Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this,rephrase
I believe it is the prime minister and the government's decision to weigh up these factors.,I think the support package from the chancellor has been generous to date.,no_rel
"As we come out of this crisis, I want to ensure that we are investing in people, we are investing in infrastructure and we deal with our public finances in a fundamentally different way","That will require financial powers, fiscal powers to be in the hands of Scottish government not the Conservatives in Westminster that most people in Scotland can vote for",rephrase
"when the common priorities of the people of Scotland, the people of Northern Ireland, the people of Wales and England are to get through this crisis",Why on earth would you start contemplating constitutional and argue about issues of separation,inference
it is frustrating and we all want to be back to normal,four weeks of the wonderful vaccination programme means a lot more people are detected,no_rel
this is the problem,We're kind of having such unfair treatment across all sectors.,no_rel
That applies here as much as it applies in all the other areas we have talked about this evening,who here has worn a face mask or covering so far,no_rel
it will depend on the supply that's there just now of course,there you see one of the massive gaps in policy between where the SNP and the Greens are,no_rel
"I was desperate, because I knew I was needed in work","you hear stories like, getting your eyes tested, by driving a certain amount of miles",no_rel
"No, it could come back to you, Jeane.","what about people who arrive in England, drive up and want to go to Scotland?",no_rel
there are the army brought in,there is people who are all over this have an understanding of how logistics work,no_rel
You are going to have at at least a quarter of a million at day in order to get this mere being proper,That's what we have been calling for,no_rel
you did,You used it twice,rephrase
"The warm homes discount is for 780,000 pensioners and families on low incomes",will give them £150 off their fuel bills,rephrase
those people are not going to be able to function,they’re not going to survive,rephrase
there are difference across the country,which is right,inference
We know that more people fell into poverty,you take each of the issues and lay it upon each other,no_rel
Ministers have spoken with their counterparts,The Minister for External Affairs of Jersey have spoken with their counterparts as well,rephrase
"Nurses and other NHS workers, because hospital porters, hospital cleaners, all the rest of them over this past year have sweat blood and tears to look after the rest of us","They've gone in there where COVID existed and put their lives on the line to look after the rest of us, keep us safe",rephrase
the teaching staff not getting rapid access to the booster programme and the second dose is part of the problem and puts greater risk on those frontline staff,"I hope England can learn from that mistake, now that their schools are going back, that we made here in Scotland",rephrase
The Government are saying they're only going to cut it this year,Why do you always attack the Government,no_rel
I wanted to come back to the point here as well about the dangers of this virus,Victor is absolutely right,rephrase
the ending of the eviction ban is premature,now is not the time,rephrase
It is the beating heart and soul of communities,We need to future-proof the hospitality industry,inference
"Right now we are being told we have amber, green and red",Make your own mind up if it is amber,inference
"for instance, I picked up a lady who's married with a couple of kids, who was out with her friends for a couple of drinks","When I pick her up, she's coming from a house at half past five in the morning, she doesn't know how she got there",no_rel
The economy is in a good place to deliver,"We heard Boris say    build back better, levelling up, high skills, high wages",no_rel
Written statements you mean,Written statements that that he could take,no_rel
I was a young Conservative going to successive party conferences and my own party couldn't deal with it in previous governments,Labour couldn't deal with it under Tony Blair,rephrase
When he came back with the report,"which was very, very obvious what it was going to report for quite a long time leading up to it",no_rel
is genuinely world leading and is well on the way to our ultimate cure,getting everyone vaccinated,rephrase
"Israelis, innocent children having rockets fired at them from the terrorist group Hamas or, sadly, innocent lives lost in Gaza",I think I it really is,inference
When is that moment,"if we were to follow what Nigel's suggesting, that we should be helping other countries, when could that be",no_rel
the Australians are talking about the potential to sell $1.3 billion of product to the UK,"We're talking about, by the government's own analysis, 0.02 percent",rephrase
we didn't hear what support was going to be available for those businesses that were affected,a particular timeline given for them but no indication about what support is going to be available,rephrase
We should have an Amazon Tax in Scotland,"Alongside that, I want us to build a new tax on online companies like Amazon",inference
that's why we have a pay review system independent of government that makes these types of recommendation,If I was First Minister in Wales I would deliver whatever recommendation came out the pay review board,rephrase
"I can't echo more the need to see health holistically tied up with that whole development of people, especially young people",How many problems and health issues could we prevent in the years to come,no_rel
it is almost like the government is playing Russian roulette with people's health,We are too slow,rephrase
It looks very depressing,I'm kind of half laughing,no_rel
I support what the cladding action group is calling for which is the Government should stump up the money in the first instance to remediate and make these homes safe they are fire traps,They are death traps,no_rel
I don't know,"there is a possibility that votes are rigged, we know that, that is a strong possibility",no_rel
studies in Finland,of a child who interacted after coming back from the French Alps and having Coronavirus with hundreds of other children and didn't pass it on,no_rel
They are not putting the money into the infrastructure,They are all talk and not doing it sufficiently seriously,no_rel
levelling up is not about students and education,levelling up is not about investing our people,rephrase
"I felt on behalf of business at the moment, it doesn't feel like government really wants to work with business and this adversarial approach cannot carry on",It doesn't feel like partnership right now,rephrase
They have refused to do so,We know the Prime Minister has appointed a so-called independent investigator,no_rel
I think he's a person who can do that,it's not as easy as when Labour used to be able to weigh these votes in these places,no_rel
It has been hung up on dates,"since at least 8 April, it has been sitting on a report from SAGE saying that hospitality wasn't even responsible",no_rel
we've money laundering to achieve quite a lot of U turns out of the government,Not enough,rephrase
But one of the things that's poor in all of this is we have 3 million people in the United Kingdom that have been secluded from financial support for over a year,A lot of them are working in the arts profession,rephrase
India has made a commitment to be net zero by 2070 and on carbon emission by 2050,Russia has made a commitment with China to be net zero by 2060,inference
"multiplicity of reasons, including for example, the appalling position where a young woman who has made a complaint of rape is told look we need your phone, we want your mobile phone, we will take your phone from you maybe for months",The system has failed,inference
"Virginia Giuffre, an American woman, has accused Prince Andrew","of sexually assaulting her three times in the States when she was underage there, which was 17",rephrase
he wasn't outraged,He didn't say it was appalling,rephrase
"for most of us, me included, has not been the case for well over a year","It seems sensible to me to follow the evidence about double jabbing, and to now extend it to amber countries",no_rel
We don't have the festival on as normal,We have lots of people here,no_rel
there will have to be some element of screening,this was a tragedy,no_rel
"Seeing how many people are wearing face coverings on public transport at the moment, the reports seem to be pretty mixed",are you happy with the way that's going Chris he was in terms of the advice,no_rel
lots of this is about a commercial dispute between the European Union and the vaccine companies,it's about us not muddying the waters and making it more difficult,rephrase
I am assuming you didn't vote for Brexit,I did,conflict
We have provided support for the self-employed,There have been so many that haven't been able to,conflict
None of us would want to have these measures in place for a day longer than is necessary,"it is right, having done so much -- I mean, having all these difficult decisions to be cautious at this stage in the process",no_rel
"I want to agree with Rory, about burden-sharing",Pakistan and Iran have millions of refugees,no_rel
I think I ate at 22 restaurants in August alone,You single-handedly propped the whole thing up,inference
they are going to damn this government forever,you want people to vote for you,no_rel
"I agree with Daisy, and with Tim","I lead for the Labour Party on health, I have not been involved in the particulars of the Bill",no_rel
